symbol_id,symbol,fiscal_date_ending,report_type,reported_currency,gross_profit,total_revenue,cost_of_revenue,cost_of_goods_and_services_sold,operating_income,selling_general_and_administrative,research_and_development,operating_expenses,investment_income_net,net_interest_income,interest_income,interest_expense,non_interest_income,other_non_operating_income,depreciation,depreciation_and_amortization,income_before_tax,income_tax_expense,interest_and_debt_expense,net_income_from_continuing_operations,comprehensive_income_net_of_tax,ebit,ebitda,net_income,api_response_status,created_at,updated_at
11131,FISI,2007-06-30,quarterly,USD,18658000.0,31064000.0,12253000.0,12253000.0,4463000.0,8008000.0,0.0,14348000.0,,,,12406000.0,,,,979000.0,4463000.0,1020000.0,,0.0,,4463000.0,5442000.0,3443000.0,pass,2025-08-05 10:25:02.717233,2025-08-05 10:25:02.717233
11295,FFWM,2012-12-31,quarterly,USD,42284000.0,47494000.0,5210000.0,5210000.0,13358000.0,28335000.0,0.0,0.0,,,,3145000.0,,,,,7808000.0,207000.0,,0.0,,0.0,,2735000.0,pass,2025-08-05 09:04:26.142029,2025-08-05 09:04:26.142029
10730,ELS,2011-06-30,quarterly,USD,60856000.0,125914000.0,65058000.0,65058000.0,13230000.0,6487000.0,0.0,26168000.0,,,,21458000.0,,541000.0,,17539000.0,11654000.0,24364000.0,,11654000.0,,35493000.0,53032000.0,10865000.0,pass,2025-08-05 08:48:37.075348,2025-08-05 08:48:37.075348
1971,KFY,2024-10-31,quarterly,USD,179876000.0,681960000.0,502084000.0,502084000.0,87476000.0,64541000.0,,92400000.0,,-5626000.0,926000.0,5626000.0,,,,19688000.0,87241000.0,24898000.0,,62343000.0,,92867000.0,112555000.0,60800000.0,pass,2025-08-05 08:43:31.333421,2025-08-05 08:43:31.333421
8616,HOTH,2018-03-31,quarterly,USD,0.0,0.0,0.0,0.0,-527546.0,307428.0,173404.0,527546.0,,,,,,,,302.0,-527546.0,0.0,,-527546.0,,-527546.0,-527244.0,-527546.0,pass,2025-08-05 10:47:53.651912,2025-08-05 10:47:53.651912
13723,MDRX,2012-12-31,quarterly,USD,136332000.0,350963000.0,214631000.0,214631000.0,-26600000.0,280020000.0,50000000.0,162932000.0,,,,13735000.0,,1301000.0,,39600000.0,-30098000.0,-5800000.0,,-24322000.0,,-25800000.0,13800000.0,-56936000.0,pass,2025-08-05 10:09:51.766229,2025-08-05 10:09:51.766229
2942,USB,2020-12-31,quarterly,USD,5284000000.0,6029000000.0,745000000.0,745000000.0,1920000000.0,1945000000.0,,3364000000.0,,3175000000.0,3479000000.0,304000000.0,,,,134000000.0,1920000000.0,395000000.0,,1525000000.0,,1920000000.0,2054000000.0,1519000000.0,pass,2025-08-05 00:15:21.614157,2025-08-05 00:15:21.614157
496,NMRA,2021-06-30,quarterly,USD,,,,,-17200000.0,6306000.0,10894000.0,17200000.0,,,,,,,,125000.0,-17011000.0,,,,,-17200000.0,-17075000.0,-17011000.0,pass,2025-08-05 10:38:11.225653,2025-08-05 10:38:11.225653
3900,XTIA,2025-03-31,quarterly,USD,335000.0,484000.0,149000.0,149000.0,-10402000.0,7380000.0,1714000.0,10737000.0,,-217000.0,,217000.0,,,,176000.0,-12887000.0,15000.0,,-12872000.0,,-12670000.0,-12494000.0,-12872000.0,pass,2025-08-05 10:06:07.088055,2025-08-05 10:06:07.088055
8073,BOKF,2024-12-31,annual,USD,1918035000.0,3361741000.0,1443706000.0,1443706000.0,666644000.0,847865000.0,,1251391000.0,,1210758000.0,2636464000.0,1425706000.0,,,,105306000.0,666644000.0,143091000.0,,523553000.0,,666644000.0,771950000.0,523569000.0,pass,2025-08-05 10:32:19.899223,2025-08-05 10:32:19.899223
8466,BBIO,2020-12-31,annual,USD,5161000.0,8249000.0,3088000.0,3088000.0,-474482000.0,145684000.0,337047000.0,482731000.0,,-32640000.0,4015000.0,36655000.0,,5649000.0,,3088000.0,-505488000.0,-21563000.0,,-505488000.0,,-468833000.0,-465745000.0,-483925000.0,pass,2025-08-05 10:38:15.664593,2025-08-05 10:38:15.664593
5493,SLNO,2015-12-31,annual,USD,34872.0,387555.0,352683.0,352683.0,-12159746.0,6140821.0,4536244.0,12194618.0,,,,0.0,,-3565235.0,,108228.0,-15908546.0,-183565.0,,-15724981.0,,-15908541.0,-15800313.0,-15908546.0,pass,2025-08-05 11:16:50.557782,2025-08-05 11:16:50.557782
7305,ALGS,2024-12-31,annual,USD,1323000.0,3945000.0,2622000.0,2622000.0,-89154000.0,22830000.0,70269000.0,93099000.0,,4406000.0,,,,,,,-130880000.0,331000.0,,-131211000.0,,,-89154000.0,-131211000.0,pass,2025-08-05 11:04:46.761306,2025-08-05 11:04:46.761306
1969,KFRC,2009-12-31,annual,USD,285979000.0,910136000.0,624157000.0,624157000.0,23038000.0,250398000.0,,262941000.0,,,,1437000.0,,,,11673000.0,21893000.0,9020000.0,,,,23330000.0,35003000.0,12873000.0,pass,2025-08-05 09:55:54.204768,2025-08-05 09:55:54.204768
5068,SU,2016-09-30,quarterly,CAD,3236000000.0,7409000000.0,4173000000.0,4173000000.0,-995000000.0,2212000000.0,146000000.0,3236000000.0,,,,175000000.0,,,,1506000000.0,326000000.0,-66000000.0,,0.0,,416000000.0,1922000000.0,392000000.0,pass,2025-08-04 23:28:20.540374,2025-08-04 23:28:20.540374
3157,UXIN,2020-03-31,quarterly,CNY,-6853000.0,103861000.0,110714000.0,110714000.0,-2185985000.0,74926000.0,31176000.0,2179132000.0,,-25948000.0,3081000.0,29029000.0,,,,22678000.0,-2040999000.0,326000.0,,-2034385000.0,,-2190602000.0,-2167924000.0,-2029002000.0,pass,2025-08-05 09:55:17.037908,2025-08-05 09:55:17.037908
20095,GCI,2023-12-31,quarterly,USD,211265000.0,669405000.0,458140000.0,458140000.0,24635000.0,167246000.0,,186630000.0,,-26969000.0,,26969000.0,,,,38496000.0,-1315000.0,21581000.0,,-22896000.0,,25654000.0,64150000.0,-22892000.0,pass,2025-08-05 08:41:37.096352,2025-08-05 08:41:37.096352
1899,KE,2024-03-31,quarterly,USD,31944000.0,425036000.0,393092000.0,393092000.0,16283000.0,16861000.0,,15661000.0,,-5792000.0,83000.0,5875000.0,,,,10455000.0,-12753000.0,-6677000.0,,-6076000.0,,-5978000.0,4477000.0,-6076000.0,pass,2025-08-05 11:08:04.196418,2025-08-05 11:08:04.196418
9940,IPM,2012-09-30,quarterly,None,3094969.0,4331701.0,1236732.0,1236732.0,-265483.0,1849160.0,,3360452.0,,,,,,,,40033.0,302306.0,,,,,-265483.0,-225450.0,302306.0,pass,2025-08-05 09:19:07.605593,2025-08-05 09:19:07.605593
2148,LADR,2012-06-30,quarterly,USD,0.0,148298000.0,30502000.0,30502000.0,116831000.0,0.0,0.0,0.0,,,,16040000.0,,,,,76841000.0,414000.0,,0.0,,0.0,,76419000.0,pass,2025-08-04 23:32:14.219194,2025-08-04 23:32:14.219194
1148,PM,2013-12-31,quarterly,USD,5187000000.0,7789000000.0,2602000000.0,2602000000.0,3367000000.0,5229000000.0,449000000.0,1984000000.0,,,,383000000.0,,-22000000.0,,223000000.0,2929000000.0,893000000.0,,2058000000.0,,3489000000.0,3712000000.0,1987000000.0,pass,2025-08-04 23:34:08.614582,2025-08-04 23:34:08.614582
1777,LW,2024-05-31,quarterly,USD,387900000.0,1611900000.0,1224000000.0,1224000000.0,212500000.0,119100000.0,26400000.0,175400000.0,,-40300000.0,,40300000.0,,,,86800000.0,180400000.0,50700000.0,,129700000.0,,212500000.0,299300000.0,129700000.0,pass,2025-08-05 00:00:12.406365,2025-08-05 00:00:12.406365
7070,CZWI,2016-12-31,annual,USD,23917000.0,28999000.0,5082000.0,5082000.0,3859000.0,11426000.0,0.0,20058000.0,,20077000.0,25084000.0,5007000.0,,63000.0,,1182000.0,3859000.0,1286000.0,,2573000.0,,3859000.0,5041000.0,2573000.0,pass,2025-08-05 10:53:39.246505,2025-08-05 10:53:39.246505
7206,AMRZ,2023-12-31,annual,USD,2769000000.0,11677000000.0,8908000000.0,8908000000.0,1871000000.0,898000000.0,,9806000000.0,,-549000000.0,,549000000.0,,,,,1303000000.0,,,955000000.0,,,,956000000.0,pass,2025-08-05 08:44:27.509176,2025-08-05 08:44:27.509176
10638,EOG,2007-12-31,annual,USD,3122446000.0,4038496000.0,916050000.0,916050000.0,1648396000.0,205210000.0,,1326533000.0,,,,0.0,,,,1065545000.0,1630868000.0,540950000.0,,,,1795913000.0,2861458000.0,1089918000.0,pass,2025-08-05 09:06:00.521545,2025-08-05 09:06:00.521545
3374,TLF,2007-09-30,quarterly,USD,6941634.0,12806333.0,5864699.0,5864699.0,105277.0,6836357.0,0.0,6836357.0,,,,50494.0,,,,237090.0,327441.0,155835.0,,0.0,,105277.0,342367.0,171606.0,pass,2025-08-05 09:18:06.125552,2025-08-05 09:18:06.125552
598,OFLX,2005-06-30,quarterly,USD,7529000.0,15241000.0,7712000.0,7712000.0,2886000.0,1134000.0,0.0,4643000.0,,,,45000.0,,,,-1000.0,2910000.0,1230000.0,,0.0,,2886000.0,2885000.0,1680000.0,pass,2025-08-05 09:59:26.177189,2025-08-05 09:59:26.177189
6191,BWMX,2018-06-30,quarterly,None,311600500.0,521440000.0,209839500.0,209839500.0,131844000.0,44759000.0,,182983000.0,,,,,,,,7049000.0,110028500.0,33442500.0,,,,131844000.0,138893000.0,76586000.0,pass,2025-08-05 11:01:47.489426,2025-08-05 11:01:47.489426
8890,HUBS,2015-06-30,quarterly,USD,31668000.0,42941000.0,11273000.0,11273000.0,-11322000.0,8541000.0,8158000.0,42990000.0,,,,79000.0,,46000.0,,1818000.0,-11355000.0,37000.0,,-11392000.0,,-11276000.0,-9458000.0,-11392000.0,pass,2025-08-04 23:26:26.207112,2025-08-04 23:26:26.207112
5253,TCBI,2014-09-30,quarterly,USD,129557000.0,145686000.0,16129000.0,16129000.0,57642000.0,50892000.0,0.0,71915000.0,,,,9629000.0,,-295000.0,,3890000.0,57642000.0,20810000.0,,36832000.0,,57642000.0,61532000.0,36832000.0,pass,2025-08-05 11:16:28.431696,2025-08-05 11:16:28.431696
