symbol_id,symbol,date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,created_at,updated_at
7488,APLD,2021-06-08,0.81,0.97,0.81,0.97,5.82,8618,0.0,1.0,2025-07-09 11:25:59.281589,2025-07-09 11:25:59.281589
3453,TU,2013-01-03,65.67,65.72,64.93,65.38,8.5862,53600,0.0,1.0,2025-07-09 09:26:04.038014,2025-07-09 09:26:04.038014
3721,WTTR,2020-12-04,4.64,5.0,4.64,4.99,4.6434,247460,0.0,1.0,2025-07-09 09:08:31.826185,2025-07-09 09:08:31.826185
10696,EGO,2005-10-31,3.08,3.17,2.93,3.04,14.4694,409300,0.0,1.0,2025-07-09 10:22:52.888628,2025-07-09 10:22:52.888628
9127,GNLX,2025-05-02,2.43,2.72,2.43,2.63,2.63,106273,0.0,1.0,2025-07-09 10:38:05.293780,2025-07-09 10:38:05.293780
4041,VTVT,2020-03-02,3.4,3.57,3.2,3.29,131.6,420610,0.0,1.0,2025-07-09 12:21:28.518363,2025-07-09 12:21:28.518363
7537,AQMS,2019-01-18,2.13,2.16,2.0,2.09,41.8,467196,0.0,1.0,2025-07-09 12:19:43.551669,2025-07-09 12:19:43.551669
8241,BML-P-J,2023-09-28,21.14,21.44,21.13,21.44,19.054,7216,0.0,1.0,2025-07-09 10:06:51.362921,2025-07-09 10:06:51.362921
35,OPXS,2012-03-05,0.02,0.029,0.02,0.029,26.8587,2000,0.0,1.0,2025-07-09 12:09:33.600092,2025-07-09 12:09:33.600092
1875,KOPN,2014-01-09,4.2,4.2,3.97,4.1,4.1,390600,0.0,1.0,2025-07-09 13:00:12.383466,2025-07-09 13:00:12.383466
1332,PSA-P-N,2022-10-04,16.54,16.67,16.42,16.55,14.1677,265924,0.0,1.0,2025-07-09 08:46:05.540317,2025-07-09 08:46:05.540317
4304,WHLRD,2018-11-30,18.6,18.6,17.94,18.01,18.01,3060,0.0,1.0,2025-07-09 10:36:47.287887,2025-07-09 10:36:47.287887
15037,SF-P-B,2021-11-26,26.89,26.89,26.5,26.52,20.928,4182,0.0,1.0,2025-07-09 09:56:34.652086,2025-07-09 09:56:34.652086
8398,AUB,2022-03-31,37.34,37.94,36.6,36.69,32.4593,291276,0.0,1.0,2025-07-09 09:32:28.075035,2025-07-09 09:32:28.075035
184,PCG,2025-04-07,16.06,16.52,15.59,16.08,16.0512,22756298,0.0,1.0,2025-07-09 09:27:17.738790,2025-07-09 09:27:17.738790
2400,NLY-P-F,2025-01-13,25.47,25.54,25.32,25.37,24.2142,58798,0.0,1.0,2025-07-09 09:50:38.287757,2025-07-09 09:50:38.287757
2516,NEEPN,2024-08-30,24.93,25.09,24.58,24.71,23.6217,136407,0.353,1.0,2025-07-09 09:42:44.084699,2025-07-09 09:42:44.084699
6046,CLB,2013-08-13,148.36,151.52,147.8,151.03,130.081,140700,0.0,1.0,2025-07-09 09:04:21.920801,2025-07-09 09:04:21.920801
10160,ERJ,2003-01-13,15.85,15.87,15.43,15.5,11.8825,339700,0.0,1.0,2025-07-09 10:04:47.694011,2025-07-09 10:04:47.694011
1018,QNCX,2021-09-20,86.83,88.45,82.27,85.65,85.65,502628,0.0,1.0,2025-07-09 12:59:16.132661,2025-07-09 12:59:16.132661
5884,CENX,2015-04-02,14.02,14.63,13.78,14.03,14.03,2825784,0.0,1.0,2025-07-09 11:01:22.279832,2025-07-09 11:01:22.279832
